# Source: http://norvig.com/mayzner.html
Word,Frequency
TREES,96281
MARY,96280
APPEARANCE,96279
FIRM,96278
BALANCE,96277
BRITAIN,96276
SPRING,96275
STOP,96274
REACTION,96273
CHARACTERISTICS,96272
LEADERS,96271
SAMPLE,96270
CLASSES,96269
FOOT,96268
BATTLE,96267
CONTRACT,96266
THIRTY,96265
ACCEPTED,96264
JAPANESE,96263
MATTERS,96262
RESISTANCE,96261
HAIR,96260
BELIEVED,96259
DRAWN,96258
REPORTS,96257
STANDING,96256
EQUIPMENT,96255
CALIFORNIA,96254
WOOD,96253
FLOOR,96252
MARRIED,96251
ARGUMENT,96250
FILE,96249
MARK,96248
SMITH,96247
MISS,96246
HILL,96245
OPENED,96244
DAUGHTER,96243
DESPITE,96242
PROPERTIES,96241
CONFERENCE,96240
OH,96239
GLASS,96238
ADVANTAGE,96237
EXTERNAL,96236
PREVENT,96235
GOES,96234
OUTPUT,96233
JUDGE,96232
HOUSES,96231
STATED,96230
REPRESENTED,96229
INVESTMENT,96228
ENEMY,96227
PAPERS,96226
JAPAN,96225
PIECE,96224
CREDIT,96223
COMMERCIAL,96222
NORTHERN,96221
SQUARE,96220
REACH,96219
ACTIONS,96218
CONTAINS,96217
MEANT,96216
HOSPITAL,96215
CONFLICT,96214
NATIVE,96213
VISIT,96212
FEBRUARY,96211
EXISTING,96210
DESIGNED,96209
JUDGMENT,96208
FELL,96207
SEX,96206
ENTERED,96205
FILM,96204
INITIAL,96203
RECORDS,96202
OFFICIAL,96201
AFRICAN,96200
HOLY,96199
REQUIRES,96198
ENTER,96197
EXPLAIN,96196
HAPPENED,96195
INTRODUCED,96194
WORTH,96193
SAT,96192
ROMAN,96191
CONCERNING,96190
EDUCATIONAL,96189
TREATED,96188
OFFICER,96187
ELEMENT,96186
PRICES,96185
FAIR,96184
SKIN,96183
ASPECTS,96182
CONDUCT,96181
COVER,96180
ORDINARY,96179
SHIP,96178
FORTH,96177
DOUBLE,96176
CONTRAST,96175
RESPONSIBILITY,96174
MOVING,96173
AVOID,96172
TECHNICAL,96171
MOUTH,96170
K,96169
RUNNING,96168
EXIST,96167
NETWORK,96166
IMPACT,96165
RESPONSIBLE,96164
ROSE,96163
ARRIVED,96162
